Spreadsheet cells from Parameters
Row,Column,Cell,Content,Alias
1,A,A1,Parameter,
1,B,B1,Value,
1,C,C1,Description,
2,A,A2,WallThickness,
2,B,B2,5.0 mm,WallThickness
2,C,C2,Nominal wall thickness,
3,A,A3,WallRise,
3,B,B3,50.0 mm,WallRise
3,C,C3,Rise above original upper level,
4,A,A4,WireHoleDiameter,
4,B,B4,1.0 mm,WireHoleDiameter
4,C,C4,Steel wire hole diameter,
5,A,A5,WireHolePitch,
5,B,B5,2.0 mm,WireHolePitch
5,C,C5,Steel wire hole center pitch,
6,A,A6,SlotWidth,
6,B,B6,3.0 mm,SlotWidth
6,C,C6,Long slot nominal width,
7,A,A7,GantryBlockLength,
7,B,B7,82.0 mm,GantryBlockLength
7,C,C7,Real total gantry mounting block length,
8,A,A8,GantryBlockFrontWidth,
8,B,B8,24.0 mm,GantryBlockFrontWidth
8,C,C8,Width of the front 59 mm section,
9,A,A9,GantryBlockThickness,
9,B,B9,10.0 mm,GantryBlockThickness
9,C,C9,Real gantry mounting block thickness,
10,A,A10,GantryBlockFrontLength,
10,B,B10,59.0 mm,GantryBlockFrontLength
10,C,C10,Length of the narrower front section,
11,A,A11,GantryBlockRearLength,
11,B,B11,23.0 mm,GantryBlockRearLength
11,C,C11,Length of the wider rear section,
12,A,A12,GantryBlockRearWidth,
12,B,B12,25.5 mm,GantryBlockRearWidth
12,C,C12,Width of the wider rear section,
13,A,A13,GantryBlockLeftOverhang,
13,B,B13,1.5 mm,GantryBlockLeftOverhang
13,C,C13,Left-side-only rear overhang,
14,A,A14,MountingScrewNominalDiameter,
14,B,B14,4.0 mm,MountingScrewNominalDiameter
14,C,C14,M4 nominal screw diameter,
15,A,A15,MountingHoleDiameter,
15,B,B15,4.5 mm,MountingHoleDiameter
15,C,C15,Normal clearance diameter for M4,
16,A,A16,MountingScrewHeadDiameter,
16,B,B16,7.5 mm,MountingScrewHeadDiameter
16,C,C16,Measured cylindrical screw head diameter,
17,A,A17,MountingScrewHeadHeight,
17,B,B17,4.5 mm,MountingScrewHeadHeight
17,C,C17,Measured cylindrical screw head height,
18,A,A18,PrimaryHoleOffsetFromFront,
18,B,B18,35.0 mm,PrimaryHoleOffsetFromFront
18,C,C18,Primary hole center distance from edge X=-GantryBlockLength/2,
19,A,A19,AlternateHoleOffsetFromFront,
19,B,B19,20.0 mm,AlternateHoleOffsetFromFront
19,C,C19,Alternate hole center distance from edge X=-GantryBlockLength/2,
20,A,A20,MountingHoleOffsetFromPositiveY,
20,B,B20,10.0 mm,MountingHoleOffsetFromPositiveY
20,C,C20,Both hole centers distance from positive Y edge,
21,A,A21,MountingHoleSpacing,
21,B,B21,15.0 mm,MountingHoleSpacing
21,C,C21,Center distance between mounting holes,
22,A,A22,GantryProfileNominalSize,
22,B,B22,20.0 mm,GantryProfileNominalSize
22,C,C22,Nominal gantry extrusion width,
23,A,A23,GantryProfileClearance,
23,B,B23,0.5 mm,GantryProfileClearance
23,C,C23,Intended assembly clearance,
24,A,A24,GantryProfileOpening,
24,B,B24,20.5 mm,GantryProfileOpening
24,C,C24,Intended internal opening around gantry,
25,A,A25,GantryRearWallThickness,
25,B,B25,5.0 mm,GantryRearWallThickness
25,C,C25,Rear section vertical wall thickness,
26,A,A26,GantryFrontWallThickness,
26,B,B26,3.5 mm,GantryFrontWallThickness
26,C,C26,Front section wall thickness after outer setback,
27,A,A27,GantryVerticalWallDrop,
27,B,B27,34.0 mm,GantryVerticalWallDrop
27,C,C27,Vertical wall extension below Z zero,
28,A,A28,WallReliefTopDrop,
28,B,B28,3.75 mm,WallReliefTopDrop
28,C,C28,Vertical distance below Z zero where the relief diagonal starts,
29,A,A29,WallReliefRun,
29,B,B29,28.5 mm,WallReliefRun
29,C,C29,Horizontal distance from X negative edge to relief diagonal bottom endpoint,
30,A,A30,GantryCrossWallWidth,
30,B,B30,5.45 mm,GantryCrossWallWidth
30,C,C30,Transverse wall width along X,
31,A,A31,GantryCrossWallDepth,
31,B,B31,19.6 mm,GantryCrossWallDepth
31,C,C31,Transverse wall extension toward negative Y,
32,A,A32,OuterJLowerStepHeight,
32,B,B32,22.5 mm,OuterJLowerStepHeight
32,C,C32,Height of lower J step above Z minimum,
33,A,A33,OuterJUpperRise,
33,B,B33,40.0 mm,OuterJUpperRise
33,C,C33,Rise from gantry block top to top arc baseline,
34,A,A34,OuterJTopRadius,
34,B,B34,11.5 mm,OuterJTopRadius
34,C,C34,Radius of outer J semicircular top,
35,A,A35,OuterJThickness,
35,B,B35,5.0 mm,OuterJThickness
35,C,C35,Outer J pad thickness,
36,A,A36,OuterJArcBaseZ,
36,B,B36,50.0 mm,OuterJArcBaseZ
36,C,C36,Global Z coordinate of outer J arc baseline,
37,A,A37,OuterJArcBaseFromBottom,
